2023PN330028,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-01-29 11:45,WATER,DISCRETE SAMPLE,11.54,,,,0,,4.385,,0.268,,0.022,,,,,,,,0.022,,3.94,,0.445,,0.111,,0.029,,,,0.239,,0.0295,,0.0078,L,1,L,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330033,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-02-21 11:15,WATER,DISCRETE SAMPLE,11.38,,,,0,,3.432,,0.226,,0.008,,,,,,,,0.012,,3.23,,0.202,,0.12,,0.023,,,,0.203,,0.0148,,0.0065,,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330037,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-03-21 13:45,WATER,TRIPLICATE SAMPLE,11.49,,,,0,,3.359,,0.213,,0.017,,,,,,,,0.011,,3.07,,0.289,,0.119,,0.047,,,,0.166,,0.0208,,0.0035,,10,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330038,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-03-21 13:50,WATER,TRIPLICATE SAMPLE,11.49,,,,PM,,3.362,,0.222,,0.007,,,,,,,,0.011,,3.04,,0.322,,0.12,,0.039,,,,0.183,,0.0211,,0.0138,,10,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330039,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-03-21 13:55,WATER,TRIPLICATE SAMPLE,11.49,,,,PM,,3.381,,0.206,,0.017,,,,,,,,0.012,,3.04,,0.341,,0.119,,0.036,,,,0.17,,0.0203,,0.0034,,9,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330007,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-05-30 12:45,WATER,DISCRETE SAMPLE,14,,,,0,,5.91,,0.319,,0.064,,,,,,,,0.007,,4.78,,1.13,,0.004,,0.143,,,,0.176,,0.0697,,0.006,,44,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330011,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-06-27 13:20,WATER,TRIPLICATE SAMPLE,16.4,,,,0.001,,14.11,,0.666,,0.163,,,,,,,,0.021,,10.7,,3.41,,0.032,,0.346,,,,0.32,,0.171,,0.0081,,110,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330012,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-06-27 13:25,WATER,TRIPLICATE SAMPLE,16.4,,,,PM,,13.69,,0.609,,0.129,,,,,,,,0.016,,10.7,,2.99,,0.036,,0.288,,,,0.321,,0.137,,0.008,,167,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330013,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-06-27 13:30,WATER,TRIPLICATE SAMPLE,16.4,,,,PM,,13.45,,0.576,,0.16,,,,,,,,0.019,,10.8,,2.65,,0.032,,0.236,,,,0.34,,0.172,,0.012,,155,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-07-25 13:35,WATER,DISCRETE SAMPLE,15.2,,,,NC,,9.14,,0.473,,0.111,,,,,,,,0.014,,7.22,,1.92,,0.06,,0.183,,,,0.29,,0.121,,0.0098,,110,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330022,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-08-22 13:25,WATER,DISCRETE SAMPLE,13.8,,,,0.001,,10.37,,0.476,,0.074,,,,,,,,0.019,,8.81,,1.56,,0.013,,0.207,,,,0.269,,0.0812,,0.007,,63,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330031,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-09-18 13:21,WATER,DISCRETE SAMPLE,15.2,,,,0,,6.913,,0.382,,0.056,,,,,,,,0.022,,6.01,,0.903,,0.037,,0.128,,,,0.254,,0.0636,,0.0073,,46,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330035,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2024-10-18 14:20,WATER,DISCRETE SAMPLE,15.4,,,,0,,6.54,,0.306,,0.012,,,,,,,,0.007,,5.26,,1.28,,0.002,,0.195,,,,0.111,,0.0126,L,0.002,,15,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330043,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2025-03-17 15:45,WATER,DISCRETE SAMPLE,12.9,,,,0,,3.382,,0.244,,0.025,,,,,,,,0.013,,2.88,,0.502,L,0.002,,0.05,,,,0.194,,0.027,,0.0022,,28,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2025-04-14 16:10,WATER,DISCRETE SAMPLE,14.6,,,,0,,3.423,,0.245,,0.023,,,,,,,,0.011,,3.01,,0.413,,0.125,,0.034,,,,0.211,,0.0282,,0.0051,,16,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330005,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2025-06-12 14:10,WATER,DISCRETE SAMPLE,13.3,,,,0,,7.44,,0.382,,0.123,,,,,,,,0.018,,5.06,,2.38,,0.014,,0.226,,,,0.156,,0.131,,0.0085,,114,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330013,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2025-07-10 13:45,WATER,DISCRETE SAMPLE,12.6,,,,0,,8.83,,0.486,,0.143,,,,,,,,0.015,,5.75,,3.08,,0.05,,0.295,,,,0.191,,0.146,,0.0033,,119,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330024,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2025-08-08 14:00,WATER,DISCRETE SAMPLE,12.9,,,,0,,NC,,0.32,,0.062,,,,,,,L,0.005,,4.2,,1.28,,0.007,,0.16,,,,0.16,,0.063,L,0.002,,43,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330031,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER ABOVE THE MOUTH (SL1),NW07NC0003,61.26039778,-113.4585647,2025-09-03 13:30,WATER,DISCRETE SAMPLE,12.5,,,,0,,5.98,,0.31,,0.056,,,,,,,,0.01,,4.8,,1.18,,0.006,,0.148,,,,0.162,,0.0573,L,0.002,,41,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330005,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER AT THE MOUTH (SL2),NW07NC0004,61.32130389,-113.6105519,2012-05-31 11:15,WATER,DISCRETE SAMPLE,15,,,,0,,10.01,,0.589,,0.142,,,,,,,,0.012,,7.36,,2.65,,0.029,,0.266,,0.323,,,,0.147,,0.005,,137,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330039,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER AT THE MOUTH (SL2),NW07NC0004,61.32130389,-113.6105519,2012-07-25 12:00,WATER,DISCRETE SAMPLE,12.19,,,,0,,8.56,,0.567,,0.205,,,,,,,,0.009,,4.8,,,,0.061,,,,0.234,,,,0.212,,0.007,,166,,178,,3.76,,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330050,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER AT THE MOUTH (SL2),NW07NC0004,61.32130389,-113.6105519,2012-08-21 13:35,WATER,TRIPLICATE SAMPLE,13.1,,,,0,,9.68,,0.587,,0.167,,,,,,,,0.009,,6.1,,,,0.045,,,,0.258,,,,0.175,,0.008,,118,,129,,3.58,,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330051,WOOD BUFFALO NATIONAL PARK MONITORING,SLAVE RIVER AT THE MOUTH (SL2),NW07NC0004,61.32130389,-113.6105519,2012-08-21 13:40,WATER,TRIPLICATE SAMPLE,13.1,,,,PM,,9.36,,0.523,,0.152,,,,,,,,0.017,,6.2,,,,0.047,,,,0.254,,,,0.16,,0.008,,129,,141,,3.16,,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
