2012PN330086,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2013-02-28 12:52,WATER,TRIPLICATE SAMPLE,5,,1.26,L,0.03,,,,,,
2012PN330087,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2013-02-28 12:57,WATER,TRIPLICATE SAMPLE,5,,1.33,,0.03,,,,,,
2012PN330088,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2013-02-28 13:02,WATER,TRIPLICATE SAMPLE,5,,1.3,,0.03,,,,,,
2012PN330102,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2013-03-27 11:00,WATER,DISCRETE SAMPLE,7,,1.21,L,0.03,,,,,,
2013PN330015,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2013-05-30 13:05,WATER,DISCRETE SAMPLE,6.9,,21.5,,0.13,,,,,,
2013PN330032,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2013-06-25 14:52,WATER,TRIPLICATE SAMPLE,8,,48.7,,0.38,,,,,,
2013PN330033,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2013-06-25 14:57,WATER,TRIPLICATE SAMPLE,8,,,,,,,,,,
2013PN330034,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2013-06-25 15:02,WATER,TRIPLICATE SAMPLE,8,,,,,,,,,,
2013PN330068,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2013-07-23 12:10,WATER,DISCRETE SAMPLE,5.6,,7.33,,0.1,,,,,,
2013PN330092,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2013-08-21 11:10,WATER,DISCRETE SAMPLE,5.3,,17.9,,0.15,,,,,,
2013PN330141,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2013-10-09 13:10,WATER,DISCRETE SAMPLE,4.1,,4.69,,0.08,,,,,,
2013PN330142,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2014-01-29 12:15,WATER,DISCRETE SAMPLE,2,,1.56,L,0.03,,,,,,
2013PN330149,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2014-02-25 12:20,WATER,DISCRETE SAMPLE,2.5,,4.78,,0.04,,,,,,
2013PN330156,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2014-03-26 11:40,WATER,DISCRETE SAMPLE,1,,1.16,L,0.03,,,,,,
2014PN330003,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2014-05-28 12:57,WATER,DISCRETE SAMPLE,7.2,,29.8,,0.26,,,,,,
2014PN330028,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2014-06-25 14:15,WATER,TRIPLICATE SAMPLE,5.5,,6.69,,0.05,,,,,,
2014PN330029,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2014-06-25 14:20,WATER,TRIPLICATE SAMPLE,5.5,,6.66,,0.06,,,,,,
2014PN330030,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2014-06-25 14:25,WATER,TRIPLICATE SAMPLE,5.5,,6.51,,0.05,,,,,,
2014PN330129,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2014-08-18 13:50,WATER,DISCRETE SAMPLE,4.1,,1.61,,0.04,,,,,,
2014PN330154,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2014-09-15 13:30,WATER,DISCRETE SAMPLE,3.8,,1.07,L,0.03,,,,,,
2014PN330171,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2014-10-13 11:40,WATER,DISCRETE SAMPLE,3.7,,1.25,L,0.03,,,,,,
2014PN330183,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2015-01-21 12:30,WATER,DISCRETE SAMPLE,4.26,,1.08,L,0.03,,,,,,
2014PN330195,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2015-02-15 13:20,WATER,DISCRETE SAMPLE,5.18,,1.35,L,0.03,,,,,,
2014PN330202,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2015-03-18 13:05,WATER,DISCRETE SAMPLE,6.2,,1.5,L,0.03,,,,,,
2015PN330005,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2015-06-03 12:15,WATER,DISCRETE SAMPLE,5.7,,18.8,,0.16,,,,,,
2015PN330032,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2015-06-30 12:37,WATER,DISCRETE SAMPLE,4.7,,11.6,,0.09,,,,,,
2015PN330057,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2015-07-27 14:35,WATER,DISCRETE SAMPLE,2.7,,2.29,L,0.03,,,,,,
2015PN330082,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2015-08-24 13:15,WATER,DISCRETE SAMPLE,3.1,,2.42,L,0.03,,,,,,
2015PN330115,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2015-09-21 14:40,WATER,DISCRETE SAMPLE,3,,1.31,L,0.03,,,,,,
2015PN330128,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2015-09-21 14:15,WATER,DISCRETE SAMPLE,3,,1.55,L,0.03,,,,,,
2015PN330129,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2015-09-21 13:51,WATER,DISCRETE SAMPLE,3,,1.6,L,0.03,,,,,,
2015PN330143,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2015-10-19 12:45,WATER,DISCRETE SAMPLE,4.4,,2.51,,0.04,,,,,,
2015PN330148,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-01-25 13:38,WATER,DISCRETE SAMPLE,5.8,,1.36,L,0.03,,,,,,
2015PN330151,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-02-21 13:30,WATER,TRIPLICATE SAMPLE,5.05,,1.44,L,0.03,,,,,,
2015PN330152,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-02-21 13:35,WATER,TRIPLICATE SAMPLE,5.05,,1.28,L,0.03,,,,,,
2015PN330153,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-02-21 13:40,WATER,TRIPLICATE SAMPLE,5.05,,1.22,L,0.03,,,,,,
2015PN330169,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-03-23 11:50,WATER,DISCRETE SAMPLE,5.2,,2.22,L,0.03,,,,,,
2016PN330005,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-05-30 15:00,WATER,DISCRETE SAMPLE,5.4,,9.05,,0.17,,,,,,
2016PN330006,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-05-30 13:15,WATER,DISCRETE SAMPLE,5.4,,9.5,,0.1,,,,,,
2016PN330007,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-05-30 14:15,WATER,DISCRETE SAMPLE,3.9,,8.79,,0.1,,,,,,
2016PN330054,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-07-25 14:10,WATER,DISCRETE SAMPLE,4,,12.6,,0.12,,,,,,
2016PN330055,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-07-25 14:35,WATER,DISCRETE SAMPLE,5.5,,15.8,,0.14,,,,,,
2016PN330056,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-07-25 15:45,WATER,DISCRETE SAMPLE,1.3,,13.3,,0.13,,,,,,
2016PN330084,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-08-22 14:25,WATER,DISCRETE SAMPLE,2.5,,10.3,,0.15,,,,,,
2016PN330086,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-08-22 13:20,WATER,TRIPLICATE SAMPLE,4.4,,11.2,,0.14,,,,,,
2016PN330087,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-08-22 13:25,WATER,TRIPLICATE SAMPLE,4.4,,11.5,,0.14,,,,,,
2016PN330088,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-08-22 13:30,WATER,TRIPLICATE SAMPLE,4.4,,11,,0.12,,,,,,
2016PN330093,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-08-22 12:50,WATER,DISCRETE SAMPLE,2.6,,11,,0.15,,,,,,
2016PN330116,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-09-19 12:40,WATER,DISCRETE SAMPLE,4.3,,23.1,,0.2,,,,,,
2016PN330117,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-09-19 13:05,WATER,DISCRETE SAMPLE,5.7,,20.8,,0.19,,,,,,
2016PN330118,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-09-19 13:30,WATER,DISCRETE SAMPLE,3.7,,20.6,,0.21,,,,,,
2016PN330140,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-10-17 12:55,WATER,DISCRETE SAMPLE,1.4,,5.44,,0.07,,,,,,
2016PN330141,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-10-17 13:20,WATER,DISCRETE SAMPLE,5.3,,6.25,,0.08,,,,,,
2016PN330142,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2016-10-17 14:15,WATER,DISCRETE SAMPLE,3.9,,6.1,,0.08,,,,,,
2016PN330155,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-01-25 13:30,WATER,DISCRETE SAMPLE,6.55,,1.75,L,0.03,,,,,,
2016PN330166,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-02-21 15:45,WATER,DISCRETE SAMPLE,5.39,,1.5,L,0.03,,,,,,
2016PN330188,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-03-22 13:10,WATER,DISCRETE SAMPLE,5.83,,1.54,L,0.03,,,,,,
2017PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-05-29 14:15,WATER,DISCRETE SAMPLE,7.5,,25.3,,0.36,,,,,,
2017PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-06-27 11:30,WATER,DISCRETE SAMPLE,6.5,,24.4,,0.2,,,,,,
2017PN330052,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-07-24 12:30,WATER,DISCRETE SAMPLE,5,,7.29,,0.06,,,,,,
2017PN330067,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-08-22 12:55,WATER,TRIPLICATE SAMPLE,5.7,,6.2,,0.07,,,,,,
2017PN330068,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-08-22 13:00,WATER,TRIPLICATE SAMPLE,5.7,,5.94,,0.07,,,,,,
2017PN330069,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-08-22 13:05,WATER,TRIPLICATE SAMPLE,5.7,,5.73,,0.06,,,,,,
2017PN330084,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-09-12 12:35,WATER,DISCRETE SAMPLE,5.5,,2.51,L,0.03,,,,,,
2017PN330099,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2017-10-17 13:10,WATER,DISCRETE SAMPLE,6.5,,3.64,,0.03,,,,,,
2017PN330135,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-03-11 10:45,WATER,DISCRETE SAMPLE,4.95,,16.8,,0.14,,,,,,
2018PN330010,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-05-29 12:35,WATER,DISCRETE SAMPLE,6.1,,30.1,,0.21,,,,,,
2018PN330026,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-06-27 12:45,WATER,DISCRETE SAMPLE,4.6,,15.6,,0.14,,,,,,
2018PN330042,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-07-24 11:40,WATER,DISCRETE SAMPLE,5,,9.35,,0.21,,,,,,
2018PN330052,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-08-21 12:00,WATER,DISCRETE SAMPLE,4.6,,4.75,,0.07,,,,,,
2018PN330059,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-09-17 12:55,WATER,DISCRETE SAMPLE,4.2,,2.53,,0.04,,,,,,
2018PN330075,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2018-10-15 13:10,WATER,DISCRETE SAMPLE,5.1,,4.81,,0.05,,,,,,
2018PN330102,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-01-22 12:00,WATER,DISCRETE SAMPLE,4.28,,1.49,L,0.03,,,,,,
2018PN330109,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-02-16 13:30,WATER,DISCRETE SAMPLE,6.09,,1.53,L,0.03,,,,,,
2018PN330128,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-03-18 11:20,WATER,DISCRETE SAMPLE,6.46,,1.39,L,0.03,,,,,,
2019PN330029,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-06-25 14:20,WATER,TRIPLICATE SAMPLE,5.8,,7.12,,,,3.95,,0.057,,0.056
2019PN330030,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-06-25 14:25,WATER,TRIPLICATE SAMPLE,5.8,,7.33,,,,3.84,,0.055,,0.054
2019PN330031,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-06-25 14:30,WATER,TRIPLICATE SAMPLE,5.8,,7.04,,,,3.79,,0.055,,0.052
2019PN330050,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-07-23 12:20,WATER,DISCRETE SAMPLE,5.8,,20.7,,,,2.97,,0.104,,0.119
2019PN330068,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-08-20 13:40,WATER,DISCRETE SAMPLE,6.8,,20.7,,,,4.37,,0.234,,0.228
2019PN330084,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-09-17 12:35,WATER,DISCRETE SAMPLE,6.7,,9.63,,,,6.49,,0.111,,0.165
2019PN330097,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2019-10-07 13:28,WATER,DISCRETE SAMPLE,5.7,,4.3,,,,3.14,,0.115,,0.106
2019PN330105,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2020-01-21 14:30,WATER,DISCRETE SAMPLE,7.5,,,,,,,,,,
2019PN330120,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2020-02-18 12:15,WATER,DISCRETE SAMPLE,8,,,,,,,,,,
2020PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2020-10-01 13:20,WATER,DISCRETE SAMPLE,6.5,,,,,,3.18,,0.085,,
2020PN330004,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2020-08-25 14:00,WATER,DISCRETE SAMPLE,6.1,,,,,,,,,,
2020PN330009,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2020-10-22 13:35,WATER,DISCRETE SAMPLE,,,,,,,2.26,,0.094,,
2020PN330010,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-01-20 14:05,WATER,DISCRETE SAMPLE,7.17,,,,,,1.33,,0.023,,
2020PN330013,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-03-09 12:55,WATER,DISCRETE SAMPLE,8.32,,,,,,2.12,,0.029,,
2021PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-04-14 15:15,WATER,DISCRETE SAMPLE,9.12,,,,,,3.88,,0.063,,
2021PN330004,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-06-18 12:35,WATER,DISCRETE SAMPLE,6.7,,,,,,,,,,
2021PN330027,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-08-04 14:50,WATER,DISCRETE SAMPLE,6.3,,,,,,4.38,,0.084,,
2021PN330030,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-08-27 12:25,WATER,DISCRETE SAMPLE,5,,,,,,2.2,,0.068,,
2021PN330038,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-09-22 13:20,WATER,DISCRETE SAMPLE,5.2,,,,,,3.26,,0.089,,
2021PN330047,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-10-21 12:10,WATER,DISCRETE SAMPLE,6.6,,,,,,2.72,,0.044,,
2021PN330060,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-02-24 12:40,WATER,DISCRETE SAMPLE,6.02,,,,,,1.87,,0.031,,
2021PN330067,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-03-18 14:00,WATER,DISCRETE SAMPLE,5.25,,,,,,1.64,,0.018,,
2022PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-05-25 14:30,WATER,DISCRETE SAMPLE,8.6,,,,,,6.33,,0.306,,
2022PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-06-24 16:00,WATER,TRIPLICATE SAMPLE,8.6,,,,,,11.61,,0.213,,
2022PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-06-24 16:05,WATER,TRIPLICATE SAMPLE,8.6,,,,,,4.37,,0.209,,
2022PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-06-24 16:10,WATER,TRIPLICATE SAMPLE,8.6,,,,,,4.7,,0.188,,
2022PN330033,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-07-19 14:10,WATER,DISCRETE SAMPLE,6.5,,,,,,7.12,,0.166,,
2022PN330035,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-08-22 16:50,WATER,DISCRETE SAMPLE,7.8,,,,,,3.11,,0.06,,
2022PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-10-12 13:50,WATER,DISCRETE SAMPLE,5.5,,,,,,1.62,,0.037,,
2022PN330049,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2023-02-08 12:10,WATER,DISCRETE SAMPLE,5.1,,,,,,1.17,,0.024,,
2022PN330054,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2023-03-07 11:40,WATER,DISCRETE SAMPLE,6.5,,,,,,1.94,,0.029,,
2023PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2023-05-31 19:20,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2023PN330010,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2023-06-30 13:25,WATER,DISCRETE SAMPLE,3.1,,,,,,9.83,,0.933,,
2023PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2023-10-05 12:10,WATER,DISCRETE SAMPLE,4.2,,,,,,1.31,,0.026,,
2023PN330021,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2023-10-17 12:00,WATER,DISCRETE SAMPLE,3.8,,,,,,1.1,,0.027,,
2023PN330025,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2024-01-24 13:30,WATER,DISCRETE SAMPLE,4.98,,,,,,1.47,,0.019,,
