2014PN200097,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 4 OF 10,AL07DD0009,57.21516,-111.61577,2014-07-23 11:55,WATER,VERTICAL INTEGRATED,2.3,,114.098,,0,,0.954,,15.571,,109.171,,0,,0.254,,0.39,,15.591,,7.763,,138.154,,,,,,NA,,NA,,93.6,,,,5.42,,0.09,,,,8.27,,,,,,,,22.7,,30.3,,8.14,,0.98,,4.95,,9.37,,10,,242,,21,,8.49,,8.11,,245,,21.7,,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200098,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 9 OF 10,AL07DD0009,57.21523,-111.60808,2014-07-23 13:08,WATER,VERTICAL INTEGRATED,2.4,,112.636,,0,,0.899,,13.701,,106.101,,0,,0.255,,0.43,,17.145,,7.78,,136.984,,,,,,NA,,NA,,92.4,,,,6.64,,0.09,,,,8.29,,,,,,,,21.1,,29.4,,7.94,,0.94,,5.19,,10.2,,20,,240,,20,,8.52,,8.11,,244,,21.69,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200099,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2014-07-23 13:36,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,103.249,,5.4,,0.869,,15.139,,108.839,,0,,PM,,0.39,,15.705,,PM,,137.814,,,,,,NA,,4.5,,93.7,,,,5.29,,0.09,,,,8.31,,,,,,,,22.6,,30.2,,8.12,,0.96,,4.87,,9.42,,20,,241,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200100,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2014-07-23 13:41,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,103.006,,5.64,,0.851,,14.939,,108.839,,0,,PM,,0.39,,15.734,,PM,,138.084,,,,,,NA,,4.7,,93.9,,,,5.31,,0.09,,,,8.32,,,,,,,,22.7,,30.2,,8.12,,0.95,,4.89,,9.44,,20,,242,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200101,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2014-07-23 13:46,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,103.127,,5.76,,0.854,,14.307,,108.507,,0,,PM,,0.39,,15.476,,PM,,137.824,,,,,,NA,,4.8,,94.2,,,,5.28,,0.09,,,,8.32,,,,,,,,22.7,,30.1,,8.1,,0.96,,4.8,,9.23,,20,,243,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200107,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2014-07-24 10:14,WATER,VERTICAL INTEGRATED,3.9,,114.464,,0,,1.077,,16.515,,110.415,,0,,0.194,,0.36,,14.402,,7.833,,136.064,,,,,,NA,,NA,,93.9,,,,3.53,,0.09,,,,8.22,,,,,,,,23.3,,30.6,,8.26,,0.97,,4.3,,8.63,,30,,240,,16,,8.32,,8.07,,247,,21.14,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200108,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 6 OF 10,AL07DD0007,57.31373,-111.67093,2014-07-24 11:28,WATER,VERTICAL INTEGRATED,1.3,,111.782,,0,,1.003,,14.11,,105.81,,0,,0.187,,0.4,,16.184,,7.866,,135.554,,,,,,NA,,NA,,91.7,,,,6.11,,0.09,,,,8.24,,,,,,,,21.8,,29.3,,7.93,,0.92,,4.85,,9.49,,10,,240,,18,,8.34,,8.08,,243,,21.23,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200109,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2014-07-24 12:38,WATER,VERTICAL INTEGRATED,1.6,,111.782,,0,,1.027,,14.442,,106.142,,0,,0.181,,0.41,,16.345,,7.868,,135.764,,,,,,NA,,NA,,91.7,,,,6.34,,0.09,,,,8.23,,,,,,,,21.5,,29.4,,7.95,,0.9,,4.89,,9.63,,10,,240,,17,,8.36,,8.08,,243,,21.31,,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200110,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2014-07-24 12:50,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,113.611,,0,,0.973,,15.763,,108.963,,0,,PM,,0.38,,15.282,,PM,,137.354,,,,,,NA,,NA,,93.2,,,,5.18,,0.09,,,,8.26,,,,,,,,22.9,,30.2,,8.15,,0.95,,4.79,,9.13,,10,,241,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200111,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2014-07-24 12:55,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,113.367,,0,,0.971,,15.631,,108.631,,0,,PM,,0.39,,15.466,,PM,,136.984,,,,,,NA,,NA,,93,,,,5.17,,0.09,,,,8.26,,,,,,,,22.8,,30.1,,8.13,,0.93,,4.69,,9.23,,10,,241,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200112,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2014-07-24 13:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,113.733,,0,,1.07,,15.331,,108.631,,0,,PM,,0.38,,15.435,,PM,,137.314,,,,,,NA,,NA,,93.3,,,,5.2,,0.09,,,,8.22,,,,,,,,22.9,,30.1,,8.13,,0.95,,4.71,,9.21,,10,,242,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200113,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2014-08-06 11:05,WATER,VERTICAL INTEGRATED,2.5,,106.053,,7.68,,0.767,,15.642,,115.442,,0,,0.471,,0.29,,11.885,,7.448,,140.043,,,,,,NA,,6.4,,99.8,,,,1.45,,0.09,,,,8.39,,,,,,,,24.8,,32.3,,8.45,,1.1,,4.68,,7.24,,8,,245,,21,,8.11,,8.22,,247,,23.2,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200114,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2014-08-06 12:06,WATER,VERTICAL INTEGRATED,2,,103.737,,7.68,,0.752,,16.795,,114.695,,0,,0.463,,0.31,,12.561,,7.464,,139.324,,,,,,NA,,6.4,,97.9,,,,2.07,,0.09,,,,8.39,,,,,,,,24.4,,32.1,,8.39,,1.08,,4.75,,7.66,,8,,246,,18,,8.21,,8.23,,247,,23.3,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200115,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2014-08-06 13:13,WATER,VERTICAL INTEGRATED,2.4,,95.326,,5.64,,0.794,,8.666,,96.266,,0,,0.268,,0.66,,24.83,,7.785,,138.764,,,,,,NA,,4.7,,87.6,,,,13.2,,0.1,,,,8.32,,,,,,,,16.6,,26.5,,7.31,,0.99,,6.66,,14.8,,10,,249,,18,,8.09,,8.15,,249,,23.5,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200116,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2014-08-06 16:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,99.836,,7.2,,0.739,,12.203,,106.103,,0,,PM,,0.44,,17.405,,PM,,138.77,,,,,,NA,,6,,93.9,,,,6.55,,0.09,,,,8.38,,,,,,,,21.4,,29.5,,7.88,,1.04,,5.49,,10.4,,10,,247,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200117,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2014-08-06 16:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,100.08,,7.32,,0.742,,11.554,,105.854,,0,,PM,,0.44,,17.44,,PM,,138.764,,,,,,NA,,6.1,,94.3,,,,6.5,,0.09,,,,8.38,,,,,,,,21.5,,29.4,,7.88,,1.03,,5.34,,10.4,,8,,248,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200118,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2014-08-06 16:10,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,99.958,,7.2,,0.739,,11.022,,105.022,,0,,PM,,0.43,,17.273,,PM,,137.834,,,,,,NA,,6,,94,,,,6.38,,0.09,,,,8.38,,,,,,,,21.5,,29.1,,7.86,,1.03,,5.23,,10.2,,8,,248,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200119,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2014-08-07 10:42,WATER,VERTICAL INTEGRATED,2.8,,103.006,,7.2,,0.759,,18.11,,114.61,,0,,0.462,,0.39,,15.4,,7.456,,142.764,,,,,,NA,,6,,96.5,,,,4.53,,0.09,,,,8.38,,,,,,,,23.9,,32,,8.43,,1.18,,4.98,,9.71,,8,,252,,21,,7.75,,8.18,,254,,23.9,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200120,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2014-08-07 12:01,WATER,VERTICAL INTEGRATED,2.6,,101.787,,6.36,,0.795,,15.571,,109.671,,0,,0.397,,0.47,,18.13,,7.556,,141.634,,,,,,NA,,5.3,,94.1,,,,7.1,,0.09,,,,8.35,,,,,,,,21.4,,30.5,,8.14,,1.1,,5.5,,11.3,,8,,248,,20,,7.75,,8.18,,253,,23.8,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200121,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2014-08-07 14:18,WATER,VERTICAL INTEGRATED,1.2,,100.689,,6.48,,0.789,,15.275,,108.675,,0,,0.395,,0.5,,19.182,,7.56,,142.124,,,,,,NA,,5.4,,93.4,,,,8.15,,0.09,,,,8.35,,,,,,,,20.8,,30.2,,8.08,,1.08,,5.64,,12,,8,,249,,18,,7.78,,8.2,,253,,24,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200122,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2014-08-07 15:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,100.933,,7.56,,0.75,,16.554,,111.954,,0,,PM,,0.43,,16.78,,PM,,142.364,,,,,,NA,,6.3,,95.4,,,,6,,0.09,,,,8.38,,,,,,,,22.7,,31.2,,8.27,,1.1,,5.22,,10.5,,8,,252,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200123,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2014-08-07 15:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,100.689,,7.44,,0.747,,17.659,,112.659,,0,,PM,,0.43,,16.692,,PM,,142.286,,,,,,NA,,6.2,,95,,,,5.99,,0.09,,,,8.38,,,,,,,,22.6,,31.4,,8.32,,1.11,,5.21,,10.5,,8,,251,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200124,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2014-08-07 15:10,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,101.055,,7.32,,0.748,,15.567,,110.667,,0,,PM,,0.43,,16.671,,PM,,141.434,,,,,,NA,,6.1,,95.1,,,,5.97,,0.09,,,,8.38,,,,,,,,22.7,,30.8,,8.2,,1.1,,5.17,,10.3,,8,,252,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200125,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2014-08-19 11:50,WATER,VERTICAL INTEGRATED,0.4,,111.295,,3.96,,0.93,,15.75,,113.65,,0,,0.34,,0.41,,16.17,,7.619,,145.225,,,,,,NA,,3.3,,97.9,,,,6.23,,0.09,,,,8.3,,,,,,,,24.6,,31.5,,8.5,,1.14,,4.11,,10.2,,5,,254,,13,,8.21,,8.23,,260,,22.5,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200126,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2014-08-19 13:41,WATER,VERTICAL INTEGRATED,2.3,,118.609,,0,,0.924,,14.857,,112.157,,0,,0.337,,0.42,,16.483,,7.625,,143.954,,,,,,NA,,NA,,97.3,,,,6.63,,0.09,,,,8.3,,,,,,,,23.7,,31.1,,8.38,,1.13,,4.2,,10.3,,5,,253,,15,,8.1,,8.24,,258,,22.66,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200127,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2014-08-19 14:39,WATER,VERTICAL INTEGRATED,3.2,,117.512,,0,,0.938,,13.724,,110.124,,0,,0.309,,0.46,,17.675,,7.671,,143.404,,,,,,NA,,NA,,96.4,,,,7.66,,0.09,,,,8.29,,,,,,,,22.6,,30.5,,8.25,,1.1,,4.32,,11,,8,,252,,15,,8.08,,8.24,,257,,22.47,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200128,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2014-08-19 15:09,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,117.877,,0,,0.986,,13.797,,110.497,,0,,PM,,0.45,,17.36,,PM,,143.734,,,,,,NA,,NA,,96.7,,,,7.48,,0.09,,,,8.27,,,,,,,,23,,30.6,,8.28,,1.11,,4.31,,10.8,,8,,256,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200129,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2014-08-19 15:14,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,117.634,,0,,0.984,,14.826,,111.326,,0,,PM,,0.45,,17.383,,PM,,144.024,,,,,,NA,,NA,,96.5,,,,7.46,,0.09,,,,8.27,,,,,,,,23,,30.8,,8.36,,1.13,,4.34,,10.9,,10,,253,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200130,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2014-08-19 15:19,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,104.59,,6.84,,0.84,,13.629,,110.829,,0,,PM,,0.46,,17.712,,PM,,144.534,,,,,,NA,,5.7,,97.2,,,,7.47,,0.09,,,,8.34,,,,,,,,23,,30.7,,8.3,,1.12,,4.39,,11.1,,8,,257,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200131,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2014-08-20 11:20,WATER,TRIPLICATE SAMPLE,2.9,,119.462,,0,,0.976,,15.241,,113.241,,0,,0.274,,0.46,,17.664,,7.733,,146.173,,,,,,NA,,NA,,98,,,,7.91,,0.09,,,,8.28,,,,,,,,22.5,,31.6,,8.34,,1.11,,4.47,,11.3,,8,,257,,16,,8.12,,8.22,,261,,20.8,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200132,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2014-08-20 11:25,WATER,TRIPLICATE SAMPLE,,,119.096,,0,,0.973,,15.914,,113.614,,0,,PM,,0.46,,17.617,,PM,,146.129,,,,,,NA,,NA,,97.7,,,,7.92,,0.09,,,,8.28,,,,,,,,22.5,,31.7,,8.37,,1.11,,4.47,,11.3,,8,,255,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200133,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2014-08-20 11:30,WATER,TRIPLICATE SAMPLE,,,119.95,,0,,1.077,,15.505,,113.905,,0,,PM,,0.46,,17.448,,PM,,146.564,,,,,,NA,,NA,,98.4,,,,7.93,,0.09,,,,8.24,,,,,,,,22.5,,31.8,,8.38,,1.13,,4.45,,11.2,,8,,257,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200134,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 6 OF 10,AL07DD0007,57.31373,-111.67093,2014-08-20 13:48,WATER,VERTICAL INTEGRATED,0.7,,119.218,,0,,0.974,,15.732,,113.532,,0,,0.271,,0.46,,17.625,,7.737,,146.329,,,,,,NA,,NA,,97.8,,,,8.21,,0.09,,,,8.28,,,,,,,,22.3,,31.7,,8.35,,1.12,,4.53,,11.3,,8,,257,,14,,8.22,,8.21,,261,,20.7,,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200135,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2014-08-20 14:47,WATER,VERTICAL INTEGRATED,1,,119.462,,0,,0.976,,15.45,,113.45,,0,,0.269,,0.46,,17.636,,7.742,,146.424,,,,,,NA,,NA,,98,,,,8.27,,0.09,,,,8.28,,,,,,,,22.3,,31.7,,8.33,,1.12,,4.47,,11.3,,8,,257,,13,,8.27,,8.23,,261,,20.6,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200136,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2014-08-20 15:15,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,119.828,,0,,0.956,,15.564,,113.864,,0,,PM,,0.45,,17.066,,PM,,146.174,,,,,,NA,,NA,,98.3,,,,7.77,,0.09,,,,8.29,,,,,,,,22.7,,31.8,,8.37,,1.13,,4.35,,10.9,,8,,257,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200137,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2014-08-20 15:20,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,119.828,,0,,0.956,,16.019,,114.319,,0,,PM,,0.45,,17.138,,PM,,146.259,,,,,,NA,,NA,,98.3,,,,7.73,,0.09,,,,8.29,,,,,,,,22.6,,31.9,,8.42,,1.14,,4.35,,11,,8,,257,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
